,本部変電所,地域共同変電所,大学会館変電所,図書館変電所,体育施設変電所
386,20.0,10.0,30.0,0.0,10.0
387,10.0,10.0,30.0,10.0,0.0
388,10.0,10.0,20.0,10.0,10.0
389,20.0,10.0,30.0,0.0,10.0
390,0.0,20.0,30.0,10.0,0.0
391,10.0,10.0,30.0,0.0,10.0
392,10.0,10.0,30.0,30.0,10.0
393,0.0,10.0,30.0,40.0,20.0
394,0.0,10.0,30.0,40.0,20.0
395,0.0,20.0,30.0,40.0,30.0
396,0.0,10.0,40.0,40.0,20.0
397,0.0,10.0,30.0,40.0,30.0
398,0.0,10.0,30.0,50.0,30.0
399,0.0,20.0,40.0,50.0,30.0
400,10.0,10.0,50.0,40.0,30.0
401,20.0,10.0,40.0,10.0,30.0
402,10.0,10.0,40.0,10.0,30.0
403,10.0,20.0,30.0,10.0,30.0
404,20.0,10.0,40.0,10.0,20.0
405,10.0,10.0,20.0,0.0,20.0
406,10.0,10.0,30.0,10.0,10.0
407,20.0,10.0,30.0,10.0,0.0
408,10.0,10.0,30.0,0.0,10.0
409,10.0,20.0,30.0,10.0,10.0
410,20.0,10.0,20.0,10.0,0.0
411,10.0,10.0,30.0,10.0,10.0
412,10.0,10.0,30.0,0.0,10.0
413,10.0,10.0,40.0,10.0,0.0
414,10.0,10.0,30.0,30.0,10.0
415,10.0,20.0,30.0,30.0,10.0
416,30.0,10.0,60.0,50.0,0.0
417,30.0,30.0,100.0,50.0,10.0
418,30.0,30.0,120.0,60.0,0.0
419,30.0,20.0,130.0,50.0,10.0
420,40.0,30.0,130.0,60.0,20.0
421,40.0,20.0,120.0,60.0,20.0
422,40.0,30.0,90.0,60.0,20.0
423,40.0,30.0,80.0,60.0,30.0
424,30.0,30.0,70.0,60.0,40.0
425,40.0,30.0,60.0,60.0,40.0
426,30.0,20.0,60.0,60.0,60.0
427,20.0,20.0,40.0,50.0,50.0
428,20.0,20.0,50.0,50.0,50.0
429,20.0,20.0,30.0,30.0,30.0
430,20.0,10.0,30.0,10.0,10.0
431,10.0,20.0,30.0,0.0,10.0
432,10.0,10.0,20.0,10.0,10.0
433,20.0,20.0,30.0,10.0,10.0
434,10.0,10.0,30.0,0.0,0.0
435,10.0,10.0,30.0,10.0,10.0
436,20.0,10.0,20.0,10.0,10.0
437,10.0,10.0,40.0,10.0,10.0
438,10.0,10.0,30.0,0.0,0.0
439,0.0,20.0,30.0,0.0,20.0
440,20.0,20.0,50.0,40.0,20.0
441,20.0,20.0,90.0,40.0,20.0
442,10.0,30.0,110.0,50.0,10.0
443,20.0,30.0,120.0,40.0,20.0
444,10.0,30.0,130.0,50.0,10.0
445,30.0,30.0,110.0,50.0,20.0
446,20.0,30.0,80.0,40.0,10.0
447,30.0,30.0,70.0,60.0,30.0
448,30.0,20.0,60.0,50.0,40.0
449,30.0,30.0,60.0,60.0,80.0
450,20.0,20.0,60.0,60.0,80.0
451,20.0,20.0,40.0,50.0,90.0
452,20.0,20.0,40.0,60.0,50.0
453,20.0,10.0,30.0,20.0,20.0
454,10.0,20.0,30.0,10.0,20.0
455,20.0,10.0,30.0,10.0,10.0
456,10.0,10.0,30.0,10.0,10.0
457,10.0,10.0,20.0,0.0,0.0
458,20.0,20.0,30.0,10.0,10.0
459,10.0,10.0,30.0,10.0,10.0
460,10.0,10.0,30.0,0.0,0.0
461,20.0,10.0,30.0,10.0,10.0
462,10.0,10.0,30.0,30.0,10.0
463,10.0,20.0,40.0,40.0,20.0
464,40.0,10.0,50.0,40.0,20.0
465,40.0,30.0,100.0,60.0,20.0
466,50.0,20.0,120.0,60.0,10.0
467,40.0,30.0,140.0,60.0,20.0
468,40.0,20.0,150.0,70.0,20.0
469,40.0,30.0,110.0,60.0,20.0
470,40.0,30.0,80.0,60.0,20.0
471,50.0,20.0,70.0,60.0,30.0
472,30.0,30.0,60.0,60.0,50.0
473,40.0,30.0,60.0,60.0,70.0
474,30.0,10.0,60.0,60.0,80.0
475,30.0,20.0,50.0,60.0,70.0
476,30.0,20.0,50.0,60.0,60.0
477,20.0,10.0,30.0,30.0,40.0
478,20.0,20.0,30.0,0.0,10.0
479,10.0,10.0,20.0,10.0,10.0
480,10.0,10.0,30.0,10.0,10.0
481,20.0,10.0,30.0,0.0,0.0
482,10.0,10.0,30.0,10.0,10.0
483,10.0,20.0,20.0,10.0,10.0
484,20.0,10.0,30.0,10.0,0.0
485,10.0,10.0,30.0,0.0,10.0
486,0.0,10.0,40.0,10.0,10.0
487,10.0,10.0,30.0,0.0,10.0
488,30.0,20.0,50.0,20.0,20.0
489,20.0,30.0,90.0,20.0,0.0
490,30.0,30.0,120.0,20.0,10.0
491,20.0,30.0,120.0,20.0,0.0
492,30.0,20.0,140.0,20.0,20.0
493,30.0,30.0,130.0,20.0,10.0
